threshold,fpr,tpr
0.686,0.0,0.006358381502890174
0.687,0.0,0.006358381502890174
0.6880000000000001,0.0,0.006358381502890174
0.6890000000000001,0.0,0.006358381502890174
0.6900000000000001,0.0,0.005780346820809248
0.6910000000000001,0.0,0.005780346820809248
0.6920000000000001,0.0,0.005780346820809248
0.6930000000000001,0.0,0.005780346820809248
0.6940000000000001,0.0,0.005780346820809248
0.6950000000000001,0.0,0.005780346820809248
0.6960000000000001,0.0,0.005780346820809248
0.6970000000000001,0.0,0.005780346820809248
0.6980000000000001,0.0,0.005780346820809248
0.6990000000000001,0.0,0.004046242774566474
0.7000000000000001,0.0,0.004046242774566474
0.7010000000000001,0.0,0.004046242774566474
0.7020000000000001,0.0,0.004046242774566474
0.7030000000000001,0.0,0.004046242774566474
0.704,0.0,0.004046242774566474
0.705,0.0,0.004046242774566474
0.706,0.0,0.004046242774566474
0.707,0.0,0.004046242774566474
0.708,0.0,0.004046242774566474
0.709,0.0,0.004046242774566474
0.71,0.0,0.004046242774566474
0.711,0.0,0.004046242774566474
0.712,0.0,0.003468208092485549
